logro_educativo,participacion_2010,ocupacion_2010,desempleo_2010,formalidad_2010,participacion_2025,ocupacion_2025,desempleo_2025,formalidad_2025
Ninguno o preescolar,51.47939782819886,47.80829571923736,7.131206392920516,4.135152346563745,40.76701975050851,39.01835314313275,4.289414870347333,3.8728047315903034
Básica primaria,61.77632360004889,56.62351138097759,8.341079427826653,11.720319602909855,55.4292221007043,52.35793470123651,5.540917377277707,13.90165537218882
Básica secundaria,45.46389688075744,39.71881318819134,12.636584381744212,17.6283245205137,55.09486304983,50.289873138810364,8.7213029401195,18.30190708833237
Educación media,73.53190434453693,62.63526386318901,14.818928706498918,36.30090573419301,67.55312977090878,60.80759338520043,9.985527552290066,41.15788167985736
Superior o universitaria,78.53429580208281,68.37359611481321,12.937914045700438,65.4307013604677,74.34664663441451,66.945783294432,9.954535510357125,75.36076791058976
Total,62.94189499803406,55.558528121410724,11.730448974969622,30.360023705838508,64.29974687298751,58.58125707971746,8.893487255192309,43.95430652274881
