grupo_educativo,cine11_hom_cod,ocupados_2010,ocupados_2025,rem_trabajador_2010,rem_trabajador_2025,rem_hora_2010,rem_hora_2025,crec_ocupados,crec_rem_trabajador,crec_rem_hora
Ninguno,1,3945359.1220526611,2584364.1751690838,805772.02820122847,891890.7347773104,4082.883037461776,4972.4515438665467,-0.027810010766133209,0.0067924830693930627,0.013227359065476785
Básica primaria,2,4962675.17050262,4331206.0661886046,1002805.7343216767,1107898.022453523,4835.9676256136581,5867.808160741999,-0.0090322224353222014,0.006666304281259583,0.012976805944225234
Básica secundaria,3,1166957.1140675417,1093928.3407884373,1041157.5359934539,1137580.3285442763,5179.3998620084612,6046.3628763404622,-0.0042990262118131062,0.0059221589394502505,0.010371260603407428
Educación media,4,5261522.0672287857,8700132.94506327,1365729.7048420673,1452744.6567556283,6575.9360299235987,7534.8930555236248,0.034096257059012425,0.00412620717101797,0.0091164849083815724
Técnica profesional y tecnológica,5,1307215.7548981018,3037383.3174027945,1923229.5527148538,1901390.0447136846,9378.5849266872556,9779.1813027341759,0.057816057646278285,-0.000761084262091094,0.0027923499148461151
Universitaria,6,1342500.1059587928,2838162.2387969461,3848779.5437037572,3542988.9018774466,20173.478648001947,18920.253086490047,0.051174602344105757,-0.0055038250131426159,-0.0042665963274254315
Posgrado,7,517161.73866376258,1239786.8540249453,6947145.34880049,6919757.1794349765,37362.377975586554,37600.577385070479,0.060021586322865694,-0.00026330897362292216,0.00042376607139571476
Total,1000,18503391.073372263,23824963.937434081,1510175.5008168202,1905850.7518455219,7440.12363956704,10055.56276949713,0.01699479048839514,0.015634467697919652,0.020285579750543459
