indicador,anio,obs_sin_expandir,ocupados_expandido,promedio,mediana,desv_est,p10,p25,p75,p90,p90_p10,desv_est_log,masa_0_9_1_1_smlmv
Remuneración mensual,2021,6893,347131.23659539677,3096732.163024698,2460155.4000000004,3564832.4514402356,1113547.3790337893,1503428.3,3690233.1,5467012.0,4.909545927667358,0.7434676494344102,0.0876825156843622
Remuneración mensual,2025,7318,454674.413342594,2846709.8231214983,2500000.0,1889027.2613587414,1400000.0,1673500.0,3500000.0,5000000.0,3.5714285714285716,0.6437344191924381,0.13274322014763024
Remuneración por hora,2021,6893,347131.23659539677,16419.497957059153,11827.670192307694,22071.83443113243,5836.318357195842,7885.113461538462,18924.27230769231,28265.643745548132,4.8430606446782045,0.7219368787333434,
Remuneración por hora,2025,7318,454674.413342594,15639.646728524876,12980.769230769232,11484.65967605553,6843.75,8768.601476254426,18862.19978853225,26983.262852955257,3.942759868924969,0.6276275386706193,
