anio,cine11_hom_cod,grupo_educativo,ocupados,rem_ocupados,horas_mensuales,rem_total_mensual,rem_por_trabajador,rem_por_hora,participacion_empleo,participacion_horas
2024,2,Básica primaria,4204970.0572504438,3945793.0616491158,745955326.17747962,4059861169101.0078,1028908.7911275859,5442.4990701588949,0.18259448447405743,0.18015410240671972
2025,2,Básica primaria,4331206.0661886046,4146506.0181196611,782899796.94658136,4593905817566.4043,1107898.022453523,5867.808160741999,0.18179276483115089,0.18000281417912728
2010,3,Básica secundaria,1166957.1140675417,1010796.4415293307,203189242.09213915,1052398332453.6293,1041157.5359934539,5179.3998620084612,0.063067202624651791,0.059727745454198532
2011,3,Básica secundaria,1225576.4109300871,1061389.6743368295,212093742.66756615,1111512476844.6135,1047223.7517659115,5240.6660510809525,0.064051354757594034,0.060634120689618015
2012,3,Básica secundaria,1240372.9725379732,1061684.092418428,210822496.14690167,1161653647085.1016,1094161.300315757,5510.1028984860241,0.062919332450658089,0.05952962796261671
2013,3,Básica secundaria,1213887.85721754,1041537.5248728119,205252287.66312861,1148084150534.5325,1102297.4430755451,5593.5266963690638,0.060897935638863594,0.057837387344780215
2014,3,Básica secundaria,1259630.4857049407,1076420.4471284626,211629528.99260455,1186200301724.4954,1101986.0361152461,5605.079344886447,0.061694366338648131,0.05891392643860828
2015,3,Básica secundaria,1266330.4791709117,1081154.2013878168,210654992.61117432,1172200406229.0105,1084212.0436884237,5564.5507932140526,0.060886246955486674,0.057743458704557916
2016,3,Básica secundaria,1221628.5917879385,1056213.3397276516,204132508.02773935,1123803748420.3516,1063993.1405431107,5505.265963163687,0.058391847691573608,0.056048589993344687
2017,3,Básica secundaria,1172917.6265319739,994243.13185414753,192088693.74805486,1069885595088.8894,1076080.4483443375,5569.7478816330558,0.055530301255355415,0.053076135482694388
2018,3,Básica secundaria,1158725.4115202331,1006333.6233092442,194448258.54969293,1082856816169.1376,1076041.5741732381,5568.8686761491572,0.054479976701844735,0.053258497511915241
2019,3,Básica secundaria,1163718.5457867899,1036989.6708117195,203597370.37671849,1105648659923.5457,1066209.9064671323,5430.56453959966,0.054615000222701063,0.053327623099675446
2021,3,Básica secundaria,980435.19244284008,854507.19552954426,163058671.90950349,853460848744.0863,998775.49681157514,5234.0721210936363,0.048417913986998858,0.047928772135984246
2022,3,Básica secundaria,1032358.2807833344,956967.1586429266,183620043.21341094,934212813518.329,976222.43885896192,5087.7496659367816,0.046881932939749682,0.045716683488888715
2023,3,Básica secundaria,1055405.6211643869,982600.39301118522,185581832.29866174,985530498269.52661,1002981.9907250007,5310.4901814068007,0.046337001978959173,0.044498797193020551
2024,3,Básica secundaria,1058315.7981405791,975360.0523770157,184505453.7014336,1067916850049.3457,1094895.0056410073,5787.9961194938278,0.045955767803632738,0.044559524189010137
2025,3,Básica secundaria,1093928.3407884373,1038370.3412595588,195362021.45307162,1181229673960.6812,1137580.3285442763,6046.3628763404622,0.045915214967844856,0.044917259887442974
2010,4,Educación media,5261522.0672287857,4798472.1949358061,996575390.12870908,6553416014482.5449,1365729.7048420673,6575.9360299235987,0.28435447569394467,0.29294464910959439
2011,4,Educación media,5532190.09181668,5058027.9039783441,1042260851.0771497,6832472894230.8008,1350817.5565533722,6555.4346468733,0.28912458415259956,0.29796527440854131
2012,4,Educación media,5729825.4123410648,5192573.5798662221,1071015087.2997457,7161449874572.0859,1379171.5734833339,6686.6003658525551,0.29065192324019262,0.30242090315104314
2013,4,Educación media,5864408.3595027076,5279836.3664872758,1077547922.531534,7316487411486.4658,1385741.31916785,6789.9415501609419,0.29420375260662024,0.30363879149696382
2014,4,Educación media,6022815.9636568632,5372366.06782668,1090183488.7544663,7400003738062.1025,1377419.8639177387,6787.8515996574124,0.2949863620077095,0.30348784579731497
2015,4,Educación media,6374294.0122673828,5723622.1213842528,1153587295.454133,7625452799020.0674,1332277.4699836157,6610.2087194174183,0.30648147997819025,0.31621429680572832
2016,4,Educación media,6680250.0269675385,5968628.0605529491,1204183594.8751662,7903567715154.2461,1324184.9944360647,6563.4241728509705,0.31930502014971773,0.33063226057409018
