anio,cohorte,grupo_educativo,orden_cohorte,orden_educ,edad_media,edad_intervalo,edad_intervalo_inicio,edad_intervalo_centro,ocupados,rem_trabajador,rem_hora
2025,1990--2000,Primaria o menos,3,1,31.226359493870532,25--34,25,29.5,482474.12707231985,1027007.5442315593,5429.978125183471
2010,1990--2000,Secundaria o media,3,2,18.178767261246193,15--24,15,19.5,715779.6760801922,691695.9855336394,3820.3776347234207
2015,1990--2000,Secundaria o media,3,2,21.154689494340527,15--24,15,19.5,1876580.7317885037,975979.1492004378,4994.857568685452
2021,1990--2000,Secundaria o media,3,2,26.487966509860044,25--34,25,29.5,2388824.3551312247,1121953.105349116,5633.549358487102
2025,1990--2000,Secundaria o media,3,2,30.500352170706954,25--34,25,29.5,2859674.761612526,1364693.1285176591,6928.877463374074
2010,1990--2000,Superior o universitaria,3,3,19.093600254744132,15--24,15,19.5,193740.37103393395,915237.4109668754,5687.023355515482
2015,1990--2000,Superior o universitaria,3,3,22.22110925548064,15--24,15,19.5,1104512.1881431742,1433095.6066429191,7821.501516972741
2021,1990--2000,Superior o universitaria,3,3,26.924105747698434,25--34,25,29.5,1717160.6758658316,2314505.8960265066,11708.975236534285
2025,1990--2000,Superior o universitaria,3,3,30.567310765328656,25--34,25,29.5,2644435.759603033,2785584.7717917357,14573.209209197059
2015,2000--2010,Primaria o menos,4,1,15.000000000000004,15--24,15,19.5,16481.62040375198,560104.5569589251,3722.7957723267864
2021,2000--2010,Primaria o menos,4,1,18.649596719510775,15--24,15,19.5,101694.2139999435,622951.7024684085,3485.2486906341887
2025,2000--2010,Primaria o menos,4,1,21.508869333395364,15--24,15,19.5,219286.07440542546,913907.5427297096,4846.451913401508
2015,2000--2010,Secundaria o media,4,2,15.000000000000002,15--24,15,19.5,42951.03599635845,374531.6051971899,3206.047579066446
2021,2000--2010,Secundaria o media,4,2,19.236223815632513,15--24,15,19.5,801277.460169684,848223.4615698563,4672.1014482191595
2025,2000--2010,Secundaria o media,4,2,21.578567007826695,15--24,15,19.5,1974504.7575761047,1158632.266103592,6149.6215043641605
2015,2000--2010,Superior o universitaria,4,3,15.0,15--24,15,19.5,142.86503424152528,345871.66382737085,7981.6537806316355
2021,2000--2010,Superior o universitaria,4,3,20.07684388490965,15--24,15,19.5,202502.78921441198,1177256.2378875106,6642.722072822985
2025,2000--2010,Superior o universitaria,4,3,22.59513143850807,15--24,15,19.5,1045718.6118744127,1700527.4391164987,9520.65130224463
