year,grupo_educativo,ocupados_detalle,ingreso_detalle,horas_detalle,rem_trabajador_detalle,rem_hora_detalle,ocupados_comparable,rem_trabajador_comparable,rem_hora_comparable,dif_ocupados,dif_ocupados_pct,dif_rem_trabajador,dif_rem_trabajador_pct,dif_rem_hora,dif_rem_hora_pct
2021,Primaria o menos,4295598.756916915,3803086819862.4053,805721011.4978882,885344.9856643499,4720.103814584923,4289548.536737502,885082.0672719134,4724.997509243388,6050.220179413445,0.0014104561651644245,262.91839243646245,0.0002970553829509339,-4.893694658464483,-0.001035703119184947
2021,Secundaria o media,8001809.764432278,9537957604032.127,1577812398.319185,1191975.051247527,6045.051752789331,7989400.678401818,1191204.8698291152,6048.1308884797945,12409.086030460894,0.0015531936036212394,770.1814184116665,0.000646556640187471,-3.0791356904637723,-0.0005091053330755078
2021,Superior o universitaria,5301764.619461126,17154778438405.332,1046160334.295928,3235673.3408034537,16397.848280063685,5290537.845059639,3233833.191214336,16420.513209724304,11226.774401486851,0.0021220478390435358,1840.1495891176164,0.00056903046023429,-22.664929660619237,-0.0013802814425554592
2025,Primaria o menos,4820928.743907682,4805459874389.977,886024531.0991217,996791.3092394794,5423.619443616035,4819572.398806097,996692.7654573324,5425.865059091553,1356.3451015846804,0.00028142436493342724,98.54378214699682,9.887077097602892e-05,-2.245615475518207,-0.00041387234128785873
2025,Secundaria o media,10389000.767189808,13948593203916.174,2011062912.6794024,1342630.8762983396,6935.9308035430995,10385334.03910425,1342322.0986959292,6938.625991385867,3666.7280855588615,0.0003530679005366998,308.7776024104096,0.00023003242121275375,-2.6951878427671545,-0.00038843250034130156
2025,Superior o universitaria,7746332.198538605,25002374837495.48,1456006221.1909282,3227640.4105432425,17171.88736806701,7744190.273780808,3227731.503646887,17178.179069756643,2141.924757797271,0.00027658472765695067,-91.09310364443809,-2.8222020183994726e-05,-6.291701689631736,-0.0003662612704223527
