grupo_educativo,anio,p90_p10_mensual,p90_p10_hora,masa_smlmv
Primaria o menos,2010,9.22064799415512,6.250000000000001,0.14193932060609046
Primaria o menos,2025,7.197935387015812,5.2041666666666675,0.16150934866708314
Secundaria o media,2010,8.333333333333334,5.416666666666667,0.2097559606905942
Secundaria o media,2025,5.0,4.010416666666666,0.2909768312470919
Superior o universitaria,2010,10.0,8.321775312066576,0.11720293656246356
Superior o universitaria,2025,6.823336085135535,6.5589130944014995,0.18390984129981994
Total,2010,12.173913043478262,9.03,0.16423697996817244
Total,2025,8.75,7.267080745341615,0.22765734351152916
