indicador,anio,obs_sin_expandir,ocupados_expandido,promedio,desv_est,p10,p25,mediana,p75,p90,p90_p10,desv_est_log,masa_0_9_1_1_smlmv
Remuneración mensual equivalente,2010,5152,228118.2970496597,3252765.218624985,3230813.3164656623,1067652.1443158612,1658488.767869299,2487733.1518039485,3938910.823689585,5597399.591558884,5.242718446601942,0.7730256822449342,0.05699802466752814
Remuneración mensual equivalente,2025,7820,493770.3666524708,2963388.499253571,2573239.735237582,1422999.9999999998,1700000.0000000002,2500000.0,3500000.0,5000000.0,3.513703443429375,0.6542534689136689,0.12560286764707057
Remuneración por hora trabajada,2010,5152,228118.2970496597,17595.94945349783,16584.570922657,5980.127768759492,9258.769995232095,13754.293868146831,20332.434413782274,29900.63884379746,5.0,0.7025674153531273,
Remuneración por hora trabajada,2025,7820,493770.3666524708,16335.708997301994,14391.700477454771,6989.36170212766,9051.06642682677,13269.23076923077,19230.76923076923,28269.23076923077,4.044608359676853,0.6393995938582966,
