indicador,valor_2010,valor_2025,crecimiento_anual
ocupados,730694.3585072912,1266238.9775866736,0.037334116723423794
rem_por_trabajador,2332317.3780392096,2396381.1230030344,0.0018081245432826076
rem_por_hora,11738.355555007665,12676.015869509614,0.00513647744419421
