indicador,anio,obs_sin_expandir,ocupados_expandido,promedio,p10,p25,mediana,p75,p90,p90_p10,desv_est_log
Remuneración mensual equivalente,2010,15618,730694.3585072912,2332317.3780392087,800739.1082368958,1067652.1443158612,1658488.767869299,2695044.2477876106,4272371.215512848,5.335534597429557,0.8129160572690317
Remuneración mensual equivalente,2025,19468,1266238.9775866736,2396381.1230030344,899999.9999999999,1423500.0,1800000.0,2849999.9999999995,4199999.999999999,4.666666666666666,0.754495725185013
Remuneración por hora trabajada,2010,15618,730694.3585072912,12494.991022610033,4385.427030423627,5745.906097816412,8770.854060847254,14352.30664502278,23920.511075037968,5.454545454545455,0.749682227585301
Remuneración por hora trabajada,2025,19468,1266238.9775866736,13108.029451086251,5475.0,7141.304347826087,9615.384615384615,15209.79020979021,23076.923076923078,4.214963119072708,0.6910174638661235
