indicador,cambio_total,cambio_productividad,cambio_logro,participacion_productividad,participacion_logro
trabajador,395675.25102870166,38118.525525489844,357556.72550321184,0.096337906973930965,0.903662093026069
hora,2615.4391299300896,668.97734394997735,1946.4617859801119,0.25578012361077546,0.74421987638922438
