indicador,grupo_educativo,anio,obs_sin_expandir,ocupados_expandido,p10,p50,p90,p90_p10,sd_log,bandwidth_log
rem_mensual,Total,2010,318316,16816959.238942593,0.23840776038121173,1.067652144315861,2.9023553437712732,12.173913043478262,1.023957784140766,0.1068218400529211
rem_mensual,Total,2025,347091,22949096.711691156,0.4,1.4235,3.5,8.75,0.9348448460381713,0.0963899082286418
rem_mensual,Primaria o menos,2010,94350,6055420.624377297,0.1658488767869299,0.7255888359428182,1.5292341130782847,9.22064799415512,0.9270587070016628,0.12044023878559514
rem_mensual,Primaria o menos,2025,67667,4819572.398806097,0.23999999999999996,0.85,1.7275044928837946,7.197935387015812,0.8662995918696438,0.1194101488377767
rem_mensual,Secundaria o media,2010,140741,6927708.594356843,0.24877331518039483,1.067652144315861,2.0731109598366237,8.333333333333334,0.8966974306523422,0.1108651610953893
rem_mensual,Secundaria o media,2025,155991,10385334.03910425,0.4,1.3999999999999997,2.0,5.0,0.7739876798976549,0.0934152796716387
rem_mensual,Superior o universitaria,2010,83225,3833830.0202084533,0.6219332879509871,1.9901865214431587,6.219332879509871,10.0,0.9665511423054322,0.13393269725604104
rem_mensual,Superior o universitaria,2025,123433,7744190.273780808,0.8999999999999999,2.0,6.14100247662198,6.8233360851355345,0.881423211416165,0.11451008276128175
rem_hora,Total,2010,318316,16816959.238942593,1.7086079339312834,5.0532079646017705,15.428729643399489,9.03,0.9195206101902003,0.095926692553566
rem_hora,Total,2025,347091,22949096.711691156,2.6923076923076925,7.141304347826087,19.565217391304348,7.267080745341614,0.8415493839578755,0.08677040712513862
rem_hora,Primaria o menos,2010,94350,6055420.624377297,1.1960255537518982,3.6149321520329276,7.475159710949365,6.250000000000001,0.7929378840134038,0.10301572853093065
rem_hora,Primaria o menos,2025,67667,4819572.398806097,1.7307692307692306,4.72027972027972,9.007211538461538,5.204166666666667,0.7276949778497408,0.10030498274390916
rem_hora,Secundaria o media,2010,140741,6927708.594356843,1.840039313464459,4.983439807299576,9.966879614599153,5.416666666666666,0.7549718281021143,0.09334260418715613
rem_hora,Secundaria o media,2025,155991,10385334.03910425,2.6373626373626378,6.8269230769230775,10.576923076923077,4.010416666666666,0.6486855129198641,0.07829212296552616
rem_hora,Superior o universitaria,2010,83225,3833830.0202084533,4.10635440121485,10.229166946568212,34.172158678625664,8.321775312066574,0.8936968035479599,0.12383744448615688
rem_hora,Superior o universitaria,2025,123433,7744190.273780808,5.473076923076923,11.453875945535902,35.8974358974359,6.5589130944014995,0.8302587589213464,0.10786305371356236
